forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,4,-57162.54,0.10739289,0.61978114,0.1916168,0.08120914,,
False,4,-56344.08,0.16085109,0.42316017,0.1996018,0.21638694,,
False,4,-55525.62,0.13900375,0.3504945,0.14117868,0.36932307,,
False,4,-54707.16,0.14997849,0.27004245,0.16204828,0.41793078,,
False,4,-53888.7,0.23237121,0.1997501,0.22527707,0.3426016,,
False,4,-53070.24,0.19475466,0.10937359,0.2029382,0.49293357,,
False,4,-52251.78,0.22223166,0.064033754,0.24825943,0.46547517,,
False,4,-51433.32,0.24113588,0.042810854,0.255223,0.46083027,,
False,4,-50614.86,0.21096087,0.049797595,0.23202224,0.50721925,,
False,4,-49796.4,0.22510198,0.053916205,0.22487268,0.49610916,,
False,4,-48977.94,0.18863115,0.035769396,0.19943312,0.57616633,,
False,4,-48159.479999999996,0.1570405,0.03385866,0.18136673,0.62773407,,
False,4,-47341.020000000004,0.12773015,0.03171946,0.15559334,0.6849571,,
False,4,-46522.56,0.09822044,0.023164535,0.11492793,0.7636871,,
False,4,-45704.1,0.07642253,0.012828261,0.08811455,0.8226347,,
False,4,-44885.64,0.0664106,0.0070547564,0.08262012,0.8439145,,
False,4,-44067.18,0.05690539,0.0045812535,0.07367308,0.8648403,,
False,4,-43248.72,0.06257297,0.0034407652,0.068855755,0.86513054,,
False,4,-42430.259999999995,0.049659543,0.0024625633,0.054447223,0.8934307,,
False,4,-41611.8,0.041838665,0.0018771157,0.05062304,0.9056612,,
False,4,-40793.34,0.043369345,0.0018527757,0.049303062,0.90547484,,
False,4,-39974.88,0.048186257,0.0017454034,0.048030343,0.902038,,
False,4,-39156.42,0.04139649,0.0013884318,0.042567145,0.91464794,,
False,4,-38337.96,0.042747863,0.0014837364,0.04191322,0.9138552,,
False,4,-37519.5,0.052170146,0.0014436567,0.047426682,0.8989595,-1.0,1.0
False,4,-36701.04,0.03392964,0.008475872,0.038302124,0.91929233,0.7575757575757575,0.5151515151515151
False,4,-35882.58,0.037769012,0.0052479943,0.032658648,0.92432433,0.6883116883116883,0.2987012987012987
False,4,-35064.119999999995,0.079528615,0.018903285,0.059682377,0.8418857,0.8145161290322581,0.6370967741935485
False,4,-34245.66,0.09210309,0.011956146,0.04782658,0.8481142,0.735191637630662,0.7282229965156795
False,4,-33427.2,0.055106394,0.005476777,0.034464266,0.9049525,0.5595776772247361,0.7586726998491705
False,4,-32608.739999999998,0.034460124,0.0035068993,0.02994397,0.93208903,0.5420412480169223,0.6224219989423586
False,4,-31790.28,0.03608025,0.0027208584,0.030530637,0.93066823,0.37323943661971826,0.3834115805946791
False,4,-30971.82,0.055401254,0.009691634,0.041343782,0.8935634,0.46522131887985546,0.2791327913279133
False,4,-30153.36,0.08039204,0.007670568,0.04864858,0.86328876,0.5217391304347826,0.22169135212613472
False,4,-29334.899999999998,0.063234724,0.005252034,0.04210678,0.8894065,0.5142690739662201,0.1582217045233935
False,4,-28516.44,0.04384208,0.0032642954,0.03118753,0.9217061,0.5125482625482625,0.08462033462033461
False,4,-27697.98,0.036196407,0.00219859,0.029512864,0.9320921,0.39682969787291694,0.023709524454680934
False,4,-26879.519999999997,0.03100118,0.0015927069,0.026248824,0.94115734,0.26254915567892667,-0.08096229470275271
False,4,-26061.059999999998,0.030036394,0.0012969703,0.02724354,0.9414231,0.11257616621716111,-0.18529617420837077
False,4,-25242.6,0.0432296,0.002374576,0.029563364,0.92483246,0.06901359358661555,-0.15911467410247476
False,4,-24424.14,0.046667464,0.0022731156,0.030923706,0.9201357,0.06893643125527184,-0.07783145464304886
False,4,-23605.68,0.049393956,0.0018224025,0.03134529,0.9174383,-0.02107983136134911,-0.009111927104583164
False,4,-22787.22,0.059244536,0.0018228242,0.036718838,0.9022139,-0.0870013963936616,0.030295671179649087
False,4,-21968.759999999995,0.036364097,0.0014938505,0.024915453,0.9372266,-0.09631326352530542,0.0844240837696335
False,4,-21150.299999999996,0.11994604,0.022780646,0.061625738,0.79564756,-0.036697699620708346,0.15235702674745089
False,4,-20331.839999999997,0.08266121,0.008546796,0.030191272,0.8786007,0.05749798801752661,0.22882947330769923
False,4,-19513.379999999997,0.09323548,0.005894905,0.03157066,0.86929893,0.13391219273572214,0.28637234519587457
False,4,-18694.92,0.10414489,0.005762997,0.034112908,0.85597914,0.19368562472010747,0.3311688311688311
False,4,-17876.46,0.16102317,0.014208297,0.055976935,0.7687916,0.24755666815266963,0.3822571242412811
False,4,-17058.0,0.11664585,0.014857866,0.03534143,0.83315486,0.3061405172958957,0.4296464933915133
