forced,tsid,time,state,residuals,variance,ac1
True,0,-57981.0,-460.7,0.607706583100196,,
True,0,-57899.154,-462.5481558441559,-1.249472709271572,,
True,0,-57817.308,-461.4128000000002,-0.1313353017346799,,
True,0,-57735.462,-466.1871703703704,-4.929487103031931,,
True,0,-57653.616,-466.4289620253166,-5.199334679170704,,
True,0,-57571.77,-461.9763246753247,-0.7760875290009608,,
True,0,-57489.924,-461.9,-0.7271398647715728,,
True,0,-57408.078,-460.08884324324333,1.062330645571933,,
True,0,-57326.232,-457.00200547945207,4.136997998681466,,
True,0,-57244.386,-459.4924351351352,1.6476815589555827,,
True,0,-57162.54,-460.4407105263158,0.7173482492419225,,
True,0,-57080.694,-458.36657837837845,2.8295378562401083,,
True,0,-56998.848,-455.14366666666655,6.113444204877283,,
True,0,-56917.002,-455.41931666666665,5.923954313551462,,
True,0,-56835.156,-460.1882894736841,1.2680309439572284,,
True,0,-56753.31,-461.43773684210515,0.1596561637858258,,
True,0,-56671.464,-459.25656216216214,2.5104257251143736,,
True,0,-56589.618,-461.03577631578935,0.9292950066086405,,
True,0,-56507.772,-463.5,-1.30892544317976,,
True,0,-56425.926,-462.32924675324676,0.114711002983654,,
True,0,-56344.08,-462.86145454545454,-0.13905045695895524,,
True,0,-56262.234,-462.82765897435894,0.19711250086834298,,
True,0,-56180.388,-461.4974263157894,1.8517211428967357,,
True,0,-56098.542,-462.472197368421,1.2212911465983893,,
True,0,-56016.695999999996,-463.4210666666667,0.6345111963431691,,
True,0,-55934.85,-461.84138157894733,2.591611192942537,,
True,0,-55853.004,-464.48732499999994,0.3359219839690013,,
True,0,-55771.158,-467.82410864197533,-2.6002211219303035,,
True,0,-55689.312,-466.2584607594937,-0.6261087951530726,,
True,0,-55607.466,-465.47602278481014,0.5698684927053819,,
True,0,-55525.62,-464.47081012658225,1.990841650395339,,
True,0,-55443.774,-465.83145500000006,1.0452794964922418,,
True,0,-55361.928,-466.64204,0.6461590546942375,,
True,0,-55280.082,-465.42122784810124,2.271822479110483,,
True,0,-55198.236,-467.4435853658538,0.6447387520042298,,
True,0,-55116.39,-470.3101071428572,-1.8390361062170655,,
True,0,-55034.544,-471.4928752941176,-2.654529511406963,,
True,0,-54952.698,-473.05076511627897,-3.86324738017197,,
True,0,-54870.852,-471.2516761904762,-1.735562043019911,,
True,0,-54789.006,-470.93806666666666,-1.116125081755456,,
True,0,-54707.16,-471.22352380952384,-1.1202248935422858,,
True,0,-54625.314,-470.364785882353,-0.006003078340199863,,
True,0,-54543.468,-473.99021609195404,-3.402732798654256,,
True,0,-54461.622,-472.4850022988506,-1.6960798396614223,,
True,0,-54379.776,-471.6731858823529,-0.7102057263173833,,
True,0,-54297.93,-474.5283488372093,-3.418344621177539,,
True,0,-54216.084,-475.4767,-4.246032470712805,,
True,0,-54134.238,-473.58453448275856,-2.2585364252149702,,
True,0,-54052.392,-470.9538588235294,0.4434201865773275,,
True,0,-53970.546,-471.48634999999996,-0.04049246708558485,,
True,0,-53888.7,-471.18476190476184,0.2883751976862641,,
True,0,-53806.854,-469.92216144578316,1.5582626982797478,,
True,0,-53725.008,-471.3671710843373,0.10177596432339442,,
True,0,-53643.162,-472.94073023255817,-1.5007547823305458,,
True,0,-53561.316,-473.2,-1.8054563440041989,,
True,0,-53479.47,-471.4630000000001,-0.12956144311965545,,
True,0,-53397.623999999996,-468.1786666666666,3.0787072723341566,,
True,0,-53315.778,-466.89416500000004,4.272815292959763,,
True,0,-53233.932,-469.3535658536585,1.709234627138244,,
True,0,-53152.085999999996,-473.54570000000024,-2.600366899280573,,
True,0,-53070.24,-476.0924090909091,-5.277251202676609,,
True,0,-52988.394,-475.9783068181818,-5.305346426118092,,
True,0,-52906.548,-473.56164705882367,-3.042075325414487,,
True,0,-52824.702,-470.07698072289156,0.27899654664525997,,
True,0,-52742.856,-471.1153523809524,-0.9320514711008627,,
True,0,-52661.01,-473.0862235294118,-3.0833174453684364,,
True,0,-52579.164,-470.6927518072289,-0.8764415089617046,,
True,0,-52497.318,-469.65947654320985,-0.034408940998218895,,
True,0,-52415.472,-466.36672820512825,3.064081723355571,,
True,0,-52333.626000000004,-464.3397324675323,4.895441748494761,,
True,0,-52251.78,-467.22245000000004,1.8173851834287689,,
True,0,-52169.934,-468.4381086419753,0.40826473183597045,,
True,0,-52088.088,-467.8141500000001,0.8420611732642556,,
True,0,-52006.242,-466.8,1.6707275412657054,,
True,0,-51924.396,-467.8579160493827,0.4332575631944451,,
True,0,-51842.55,-468.5778750000001,-0.4592333070800123,,
True,0,-51760.704,-466.70497215189874,1.2491695550401687,,
True,0,-51678.858,-468.85638536585367,-1.0578581874011093,,
True,0,-51597.012,-472.52842857142855,-4.87586363862431,,
True,0,-51515.166,-472.1735928571428,-4.656604393396776,,
True,0,-51433.32,-469.3528888888889,-1.9604609758636684,,
True,0,-51351.474,-466.5579000000001,0.7216356191206046,,
True,0,-51269.628,-462.7849526315787,4.393908696443816,,
True,0,-51187.782,-457.4782929577465,9.612564027495523,,
True,0,-51105.936,-461.11563835616425,5.900322013086225,,
True,0,-51024.09,-467.0201298701301,-0.06554202671452458,,
True,0,-50942.244,-468.74173333333334,-1.8346962761776808,,
True,0,-50860.398,-469.8180518518518,-2.944574092509413,,
True,0,-50778.551999999996,-468.2254222222221,-1.3713211406672485,,
True,0,-50696.706,-465.05716923076915,1.791898409021428,,
True,0,-50614.86,-466.8566923076923,0.0017050467570811634,,
True,0,-50533.013999999996,-467.487253164557,-0.6051784957107316,,
True,0,-50451.168,-466.8,0.12008329475429491,,
True,0,-50369.322,-466.74078481012657,0.23155381071262582,,
