forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,0,9.0,0.12678441,0.31424528,0.29742843,0.2615419,,
False,0,19.0,0.11607875,0.32633454,0.21527827,0.34230843,,
False,0,29.0,0.11245129,0.25317535,0.18051301,0.45386037,,
False,0,39.0,0.100715056,0.22585782,0.14836824,0.52505887,,
False,0,49.0,0.09140876,0.16419515,0.11851021,0.62588584,,
False,0,59.0,0.09120761,0.14441875,0.10561023,0.6587634,,
False,0,69.0,0.08865754,0.12199651,0.09551833,0.6938276,,
False,0,79.0,0.08878222,0.086748935,0.08936961,0.7350992,,
False,0,89.0,0.08979599,0.076426715,0.087635495,0.7461418,,
False,0,99.0,0.079328425,0.06717475,0.081415676,0.77208114,,
False,0,109.0,0.0772789,0.058556896,0.07478763,0.78937656,,
False,0,119.0,0.06893837,0.06566465,0.07224853,0.7931484,,
False,0,129.0,0.08862789,0.062233306,0.07673652,0.7724023,,
False,0,139.0,0.07342749,0.058017097,0.07236329,0.7961921,,
False,0,149.0,0.06825568,0.054129045,0.06695463,0.81066066,,
False,0,159.0,0.06834893,0.052200772,0.06548961,0.8139607,,
False,0,169.0,0.087505646,0.06956742,0.07089393,0.77203304,,
False,0,179.0,0.06442406,0.064934686,0.058555614,0.8120856,,
False,0,189.0,0.06394391,0.06730597,0.055196576,0.8135535,,
False,0,199.0,0.06222921,0.06293876,0.04756867,0.82726336,,
False,0,209.0,0.05940188,0.060708392,0.042043194,0.8378466,,
False,0,219.0,0.058771066,0.056535155,0.041819032,0.8428747,,
False,0,229.0,0.0548862,0.052124478,0.038286082,0.85470325,,
False,0,239.0,0.059743483,0.051198017,0.037759293,0.85129917,,
False,0,249.0,0.055357475,0.052372534,0.033244755,0.8590252,,
False,0,259.0,0.06998993,0.060210794,0.035847157,0.8339521,,
False,0,269.0,0.05272882,0.05107505,0.029449042,0.8667471,,
False,0,279.0,0.07088386,0.06206285,0.03251907,0.83453417,,
False,0,289.0,0.043067668,0.04249196,0.025197316,0.889243,,
False,0,299.0,0.041069802,0.051763248,0.022602264,0.8845647,,
False,0,309.0,0.041710082,0.049285583,0.021590432,0.88741386,,
False,0,319.0,0.045746673,0.06270583,0.020290146,0.8712574,,
False,0,329.0,0.041351795,0.060160793,0.019517113,0.8789703,,
False,0,339.0,0.16517043,0.09121604,0.033977713,0.7096358,,
False,0,349.0,0.08748313,0.05203111,0.029107604,0.8313781,,
False,0,359.0,0.066341065,0.037588675,0.024846354,0.8712239,,
False,0,369.0,0.083731934,0.033635013,0.02535227,0.85728085,,
False,0,379.0,0.16852644,0.031862915,0.03480075,0.7648099,-0.8666666666666666,-0.2
False,0,389.0,0.067263804,0.01976177,0.02382366,0.8891508,-0.8499999999999999,0.31666666666666665
False,0,399.0,0.1063328,0.020423736,0.025579188,0.84766424,-0.92,-0.3230769230769231
False,0,409.0,0.053304367,0.015124373,0.019637812,0.9119334,-0.5904761904761905,-0.32063492063492066
False,0,419.0,0.13530356,0.025650924,0.022345781,0.8166997,-0.25024154589371983,0.0821256038647343
False,0,429.0,0.18238036,0.019525988,0.023989666,0.774104,-0.12207792207792208,0.3441558441558442
False,0,439.0,0.032029327,0.01447164,0.015409043,0.93809,0.1403263403263403,0.4815850815850815
False,0,449.0,0.025103826,0.009397397,0.012292932,0.9532059,0.31368421052631584,0.5796491228070176
False,0,459.0,0.01801129,0.007928084,0.011571823,0.96248883,0.45554035567715456,0.6612859097127223
False,0,469.0,0.012863912,0.005960784,0.007704308,0.97347105,0.5583333333333332,0.700438596491228
False,0,479.0,0.013385637,0.005647982,0.008327441,0.97263896,0.5953279424977539,0.708176100628931
False,0,489.0,0.011988508,0.004548249,0.007174163,0.9762891,0.5631184407796102,0.7472263868065967
False,0,499.0,0.013368366,0.004561194,0.008181039,0.97388935,0.48850793650793656,0.7175873015873016
False,0,509.0,0.008656629,0.003526887,0.006206355,0.9816101,0.4289760348583877,0.6871459694989105
False,0,519.0,0.008604227,0.003515289,0.0059150113,0.9819654,0.3747756258856873,0.6629192253188474
False,0,529.0,0.008791683,0.0042611207,0.0056730565,0.9812741,0.4117452440033085,0.6365591397849463
False,0,539.0,0.007342723,0.004178975,0.004254711,0.98422354,0.4513326031398321,0.571960569550931
False,0,549.0,0.007766617,0.0057638017,0.0051218225,0.98134774,0.4829870129870129,0.45246753246753246
False,0,559.0,0.0062615247,0.005253879,0.0041742427,0.9843103,0.5344376634699215,0.4065678581807613
False,0,569.0,0.00636541,0.0058218604,0.0041003744,0.9837123,0.577708006279435,0.38922030350601783
False,0,579.0,0.006926815,0.006976997,0.0040462865,0.98204994,0.6167653327018707,0.416528534217381
False,0,589.0,0.006623672,0.007198791,0.0035021,0.98267543,0.6497846683893195,0.43608957795004305
False,0,599.0,0.0060633253,0.0059578186,0.003108653,0.98487025,0.6730776794493609,0.4203343166175025
False,0,609.0,0.007839394,0.006051234,0.004358466,0.98175085,0.6830147854309411,0.3872340425531914
False,0,619.0,0.0065427767,0.005446763,0.0036174816,0.984393,0.6814999170399867,0.3687074829931973
False,0,629.0,0.0062840604,0.006674102,0.003169888,0.98387194,0.694546568627451,0.4147058823529412
False,0,639.0,0.008402472,0.010560523,0.0045518046,0.97648513,0.7164987941551995,0.4023549439636828
False,0,649.0,0.007044179,0.008132034,0.0036602237,0.9811636,0.735441370223979,0.3671146245059289
False,0,659.0,0.01332583,0.01056775,0.0053222757,0.97078407,0.7462887989203779,0.33156667893509995
False,0,669.0,0.00678528,0.0067645386,0.0040226826,0.9824275,0.7560238204306001,0.28616582684379294
False,0,679.0,0.0059232526,0.005765007,0.0036862877,0.98462546,0.7512911175399121,0.2459444980177863
False,0,689.0,0.009300488,0.013488096,0.0063334987,0.97087795,0.7592123769338959,0.19943741209563995
False,0,699.0,0.0094152475,0.015828103,0.005077085,0.96967953,0.7723076923076923,0.14869277961302502
False,0,709.0,0.005896778,0.014584477,0.0033809145,0.9761378,0.7839729921819474,0.10422885572139304
False,0,719.0,0.004753332,0.012305886,0.0027612732,0.9801795,0.7827259780514366,0.04887325123565384
False,0,729.0,0.005292488,0.011860892,0.0033390832,0.97950757,0.7865801550878303,0.0010128184839373318
False,0,739.0,0.0042400537,0.010042667,0.0024989976,0.9832183,0.7912119170596601,-0.044659031364623104
False,0,749.0,0.004550338,0.008746301,0.0028178936,0.98388547,0.7982127659574467,-0.0926241134751773
False,0,759.0,0.004324167,0.009032915,0.0027610415,0.98388183,0.8079806204158537,-0.13122939236928877
False,0,769.0,0.004039431,0.008971362,0.0027942555,0.98419493,0.8169032093082726,-0.16486382815496742
False,0,779.0,0.004754728,0.011815837,0.0033425633,0.9800869,0.8257009061606763,-0.19584017515051996
False,0,789.0,0.0036429078,0.007860497,0.002380461,0.9861161,0.8317886932344762,-0.2262974976830398
False,0,799.0,0.004422363,0.010299588,0.0030664993,0.9822116,0.8380557856945594,-0.2619718309859155
False,0,809.0,0.00348976,0.00863187,0.0024040851,0.9854743,0.8439312453864809,-0.2946535906358747
False,0,819.0,0.003232841,0.0064660013,0.0023047184,0.98799646,0.8445709679044692,-0.32306141986194387
False,0,829.0,0.0035245933,0.007503861,0.0026692091,0.9863024,0.8457875457875457,-0.351320609215346
False,0,839.0,0.0034897302,0.0063051553,0.0024859768,0.9877192,0.8464534588582768,-0.3784115556786193
False,0,849.0,0.0036632188,0.007826457,0.0025345418,0.98597574,0.8493586908447589,-0.40313135780628045
False,0,859.0,0.0037721903,0.006546666,0.0025082836,0.9871729,0.8554155530100546,-0.4257350133638793
False,0,869.0,0.0035844357,0.00659054,0.0023574336,0.9874676,0.8611436950146628,-0.443841642228739
False,0,879.0,0.0031995834,0.0054652495,0.0022840532,0.98905116,0.865017806128439,-0.4586154267600674
False,0,889.0,0.0031904087,0.004403962,0.0022798933,0.9901258,0.867148340483179,-0.4737412508466922
False,0,899.0,0.0028350982,0.0037622675,0.002086201,0.99131644,0.8662031504617056,-0.4886257468766975
False,0,909.0,0.0030575395,0.003160122,0.0022802227,0.9915021,0.8593388199190959,-0.5015064862602873
False,0,919.0,0.0030946168,0.0038202438,0.0021643485,0.9909207,0.8529556070840473,-0.512598716268441
False,0,929.0,0.0028065774,0.002727853,0.0021118792,0.99235374,0.8447857929872317,-0.5271631343573789
False,0,939.0,0.0026849555,0.0028046689,0.001996256,0.99251413,0.830413708996529,-0.5431752087307296
False,0,949.0,0.002628928,0.0031383429,0.0018663723,0.9923663,0.8144444444444444,-0.5578743961352657
False,0,959.0,0.002602806,0.0023454803,0.0021403055,0.99291146,0.8006709255856015,-0.5679705959569441
False,0,969.0,0.0026761584,0.0021317797,0.0019248964,0.9932672,0.78464835598669,-0.5771022502960916
False,0,979.0,0.003017115,0.0019684625,0.0023299728,0.9926845,0.7709189100728255,-0.5864059133186046
False,0,989.0,0.010625193,0.002776822,0.0035849437,0.98301303,0.7585577024601414,-0.590645127230493
False,0,999.0,0.0030151433,0.0019612866,0.0017802415,0.99324334,0.7517188498402556,-0.5959923322683706
False,0,1009.0,0.003101209,0.0015980179,0.0019945672,0.99330616,0.7377507056900907,-0.6008913980092112
False,0,1019.0,0.0025828409,0.0012671421,0.0018400705,0.9943099,0.7188854489164086,-0.5955360357117143
False,0,1029.0,0.003153727,0.0012561122,0.0024612958,0.9931289,0.6988456525786633,-0.5940606963321542
False,0,1039.0,0.0029003157,0.0015733659,0.0021663457,0.9933599,0.6808417439996388,-0.5960893224051119
False,0,1049.0,0.0026741493,0.0011272155,0.0020424023,0.99415624,0.6606881437650668,-0.6032522463291693
False,0,1059.0,0.0027978676,0.0010439309,0.0021239952,0.9940342,0.6385265263561108,-0.6066821306207572
False,0,1069.0,0.0046747774,0.0023024457,0.0035276946,0.9894951,0.6146779128421401,-0.6001984619201192
False,0,1079.0,0.004175596,0.0017088617,0.0023737107,0.99174184,0.5927109075201414,-0.593570811484138
False,0,1089.0,0.03472463,0.0040631364,0.005510246,0.955702,0.5726530452787436,-0.5865296714458726
False,0,1099.0,0.0060709594,0.0021114838,0.0049584387,0.98685914,0.5547981381210222,-0.5822931509451887
False,0,1109.0,0.0038912906,0.0011557381,0.0028308185,0.9921222,0.5420215912451937,-0.5702602780242532
False,0,1119.0,0.0034990334,0.0010841391,0.002665171,0.9927517,0.5308203033629019,-0.557536390953092
False,0,1129.0,0.0039644935,0.0012699112,0.0030788588,0.9916867,0.519836013875749,-0.5443218052489576
False,0,1139.0,0.003781076,0.000957354,0.0028914907,0.99237,0.5048106622979914,-0.533923787095343
False,0,1149.0,0.0027676143,0.00092109357,0.0023053722,0.99400586,0.48798802793481866,-0.523438643165946
False,0,1159.0,0.004103527,0.0011546572,0.0037489869,0.99099284,0.46500705012884713,-0.5142898818495648
False,0,1169.0,0.003418745,0.0013610407,0.0026948974,0.9925253,0.44666097784520076,-0.5045099712398469
False,0,1179.0,0.002610716,0.00081989774,0.0024049978,0.99416435,0.42848511936870987,-0.49072638441502403
