forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,1,9.0,0.118843004,0.33044997,0.2767213,0.27398577,,
False,1,19.0,0.11890755,0.2003577,0.22595079,0.45478398,,
False,1,29.0,0.11267088,0.1514444,0.19469813,0.54118663,,
False,1,39.0,0.10337182,0.11779431,0.15889117,0.61994267,,
False,1,49.0,0.10629113,0.10567768,0.13989392,0.6481372,,
False,1,59.0,0.11222543,0.0911469,0.13740021,0.6592275,,
False,1,69.0,0.1119746,0.08655156,0.12439527,0.6770786,,
False,1,79.0,0.114144064,0.07808616,0.12430771,0.6834621,,
False,1,89.0,0.098042704,0.07463585,0.09978381,0.72753763,,
False,1,99.0,0.08687644,0.068321384,0.090109006,0.75469315,,
False,1,109.0,0.08492611,0.06424508,0.08433577,0.766493,,
False,1,119.0,0.072336175,0.076883964,0.06936009,0.78141975,,
False,1,129.0,0.06867285,0.08107616,0.06484094,0.78541005,,
False,1,139.0,0.078483,0.09275872,0.06467435,0.764084,,
False,1,149.0,0.059185356,0.090427265,0.05288794,0.7974994,,
False,1,159.0,0.1513932,0.11671253,0.07210543,0.65978885,,
False,1,169.0,0.06589215,0.09442074,0.050902914,0.7887842,,
False,1,179.0,0.06395778,0.08967592,0.047815733,0.7985506,,
False,1,189.0,0.07346578,0.08560078,0.045854036,0.7950794,,
False,1,199.0,0.06815283,0.06891471,0.041990966,0.82094157,,
False,1,209.0,0.12514082,0.0606777,0.048521213,0.7656603,,
False,1,219.0,0.19376071,0.051049758,0.058608204,0.6965813,,
False,1,229.0,0.06937297,0.040154736,0.042562608,0.84790975,,
False,1,239.0,0.1830135,0.06377458,0.053822704,0.6993892,,
False,1,249.0,0.0568615,0.039495777,0.03717514,0.8664676,,
False,1,259.0,0.045746274,0.027659994,0.031319164,0.8952745,,
False,1,269.0,0.035965733,0.023084741,0.027771581,0.91317797,,
False,1,279.0,0.030101445,0.016713578,0.024687128,0.9284979,,
False,1,289.0,0.026601072,0.01493521,0.023048235,0.93541545,,
False,1,299.0,0.026489237,0.014885495,0.022540411,0.93608487,,
False,1,309.0,0.022948135,0.012408399,0.019734645,0.9449088,,
False,1,319.0,0.03381758,0.013751114,0.022164738,0.93026656,,
False,1,329.0,0.02773662,0.01249482,0.020441037,0.93932754,,
False,1,339.0,0.027624037,0.010917336,0.019614724,0.94184387,,
False,1,349.0,0.029870028,0.009126272,0.020228416,0.9407753,,
False,1,359.0,0.023683088,0.0068612276,0.018240808,0.9512149,,
False,1,369.0,0.022761371,0.005472324,0.015835067,0.9559313,,
False,1,379.0,0.023180518,0.005210669,0.015302479,0.95630634,0.2,0.6
False,1,389.0,0.031301938,0.006317839,0.019291442,0.9430888,-0.11666666666666665,0.6
False,1,399.0,0.022323895,0.004963901,0.014036049,0.95867616,-0.2307692307692308,0.23692307692307696
False,1,409.0,0.026510786,0.004388903,0.014365445,0.9547349,-0.5238095238095238,-0.06666666666666667
False,1,419.0,0.027183723,0.0052868756,0.01584641,0.9516829,-0.557487922705314,-0.2927536231884058
False,1,429.0,0.022926863,0.004482687,0.013991499,0.9585989,-0.6077922077922079,-0.4753246753246753
False,1,439.0,0.020738559,0.004487684,0.01340506,0.9613687,-0.6568764568764569,-0.6027972027972027
False,1,449.0,0.020991672,0.0045011016,0.011655131,0.9628521,-0.5992982456140351,-0.6582456140350877
False,1,459.0,0.021711718,0.0042065782,0.010830334,0.9632514,-0.6793433652530779,-0.6974008207934337
False,1,469.0,0.03062504,0.0061540157,0.015223959,0.947997,-0.6179824561403507,-0.6214912280701753
False,1,479.0,0.024500322,0.0056445403,0.009447356,0.96040785,-0.45193171608265953,-0.45049415992812225
False,1,489.0,0.02765419,0.006299379,0.009862934,0.95618355,-0.3553223388305847,-0.2596701649175412
False,1,499.0,0.023729987,0.0053793597,0.008469713,0.96242094,-0.3000634920634921,-0.13523809523809524
False,1,509.0,0.021187363,0.004850959,0.0075635277,0.9663981,-0.23703703703703702,-0.1276688453159041
False,1,519.0,0.025903022,0.006617873,0.0076257437,0.95985335,-0.2294756731223429,-0.14388285309400095
False,1,529.0,0.018611403,0.005583801,0.005724274,0.9700805,-0.13763440860215054,-0.19917287014061208
False,1,539.0,0.011577608,0.0042211777,0.004983465,0.9792177,-0.13953997809419494,-0.2744797371303396
False,1,549.0,0.008778555,0.003419935,0.004251877,0.9835496,-0.19402597402597402,-0.347012987012987
False,1,559.0,0.012823942,0.005728846,0.0058925296,0.97555465,-0.19511769834350476,-0.40435919790758496
False,1,569.0,0.012258005,0.007672368,0.004634303,0.9754354,-0.07891156462585036,-0.46143380429094727
False,1,579.0,0.013725092,0.009176998,0.0047581987,0.97233975,0.02334833057068435,-0.5049964480227327
False,1,589.0,0.012249299,0.007840835,0.0032747514,0.97663516,0.11162790697674417,-0.5440137812230834
False,1,599.0,0.012667902,0.008861618,0.004039111,0.9744314,0.18293018682399215,-0.5725467059980335
False,1,609.0,0.015123563,0.008682217,0.0038955521,0.97229874,0.23598990263252792,-0.5652362062747925
False,1,619.0,0.017569404,0.011347426,0.0048153065,0.9662679,0.28169902107184336,-0.5384104861456778
False,1,629.0,0.011194777,0.0104833655,0.00402904,0.9742929,0.3333946078431373,-0.513357843137255
False,1,639.0,0.007908305,0.008292178,0.0031588308,0.9806407,0.38204000567456375,-0.4593843098311817
False,1,649.0,0.007887343,0.008691911,0.0041625192,0.97925824,0.4215546772068512,-0.40521739130434786
False,1,659.0,0.009135621,0.010835143,0.0034236826,0.97660553,0.46053245000613424,-0.34967488651699175
False,1,669.0,0.006757068,0.007584895,0.0032854439,0.9823726,0.4887769125057261,-0.30412276683463124
False,1,679.0,0.009158349,0.009921223,0.0042131077,0.97670734,0.51025393764063,-0.2844744455159113
False,1,689.0,0.0072412356,0.007087889,0.0036805589,0.98199034,0.5399638336347197,-0.26397428169580067
False,1,699.0,0.00703753,0.0068796976,0.003665303,0.98241746,0.5673053327041057,-0.2460972156677678
False,1,709.0,0.0054947734,0.0057918723,0.003497913,0.9852155,0.5901208244491827,-0.24356787491115847
False,1,719.0,0.0044054263,0.0044206474,0.0028668542,0.9883071,0.6096506659964814,-0.24151796933902991
False,1,729.0,0.005148734,0.0058127707,0.0036036405,0.98543483,0.6276942554201614,-0.2611489159677164
False,1,739.0,0.0039612204,0.0043109306,0.0023567993,0.989371,0.6470993337824688,-0.28117374054944233
False,1,749.0,0.0059494535,0.007471831,0.0042781276,0.9823006,0.6644255319148936,-0.30121985815602836
False,1,759.0,0.004062848,0.0064864485,0.0027715163,0.9866792,0.6811250925240564,-0.32935872417737705
False,1,769.0,0.0034363766,0.0056534684,0.0022627676,0.98864734,0.6944636235775477,-0.36176959468098707
False,1,779.0,0.0051133484,0.008267334,0.0035940658,0.98302525,0.7089582193030468,-0.39103569908167607
False,1,789.0,0.004270464,0.007429786,0.0025069686,0.9857928,0.7221501390176088,-0.4196941612604263
False,1,799.0,0.0037655123,0.008118732,0.0024266655,0.98568904,0.7346368406517535,-0.44238608119304057
False,1,809.0,0.004675786,0.0100613255,0.0025913785,0.98267156,0.7465569967309923,-0.4563956553833175
False,1,819.0,0.004617926,0.009452766,0.0029147328,0.9830146,0.7564568952486521,-0.46504761424900487
False,1,829.0,0.004867518,0.008057245,0.0029621925,0.98411304,0.7649893965683439,-0.4701561596298438
False,1,839.0,0.0050898385,0.008958093,0.0035461592,0.98240584,0.7723014444598275,-0.48154506437768246
False,1,849.0,0.003900731,0.00624556,0.0024803425,0.98737335,0.7743653250773994,-0.4991596638655462
False,1,859.0,0.0038798875,0.0068985135,0.0028362903,0.98638535,0.7747231767850323,-0.5183403334606083
False,1,869.0,0.004230464,0.007218214,0.002997641,0.9855536,0.7732974910394265,-0.5364450961225155
False,1,879.0,0.0031325116,0.00609078,0.0021091416,0.9886676,0.7736625836496693,-0.5448362227527102
False,1,889.0,0.0029586721,0.0043540085,0.0019753487,0.990712,0.7745013923383759,-0.5478588093625347
False,1,899.0,0.0032571442,0.003789819,0.0022308188,0.9907222,0.7658374072062286,-0.552851711026616
False,1,909.0,0.0028781225,0.00314214,0.0018364831,0.9921433,0.7552517784907239,-0.5540940159017993
False,1,919.0,0.0027174065,0.0025975832,0.001914323,0.9927707,0.7476224081728668,-0.5416070168363746
False,1,929.0,0.0033022407,0.0027468503,0.0023174104,0.99163353,0.7444811718193013,-0.5229502884179142
False,1,939.0,0.0037743761,0.0027873255,0.0023023984,0.9911359,0.7377904249663841,-0.5042996966759435
False,1,949.0,0.0029118112,0.0021583405,0.0019824754,0.9929474,0.723756038647343,-0.4830314009661836
False,1,959.0,0.0028338607,0.0019651721,0.0018618157,0.9933392,0.708211545754208,-0.46042414165281065
False,1,969.0,0.00602318,0.0021415052,0.0032478601,0.9885875,0.6935423833963116,-0.4371665444701371
False,1,979.0,0.0063120634,0.0020895582,0.0032360232,0.9883623,0.6799061724354254,-0.4138395657747593
False,1,989.0,0.0029647213,0.0012927912,0.0019764039,0.9937661,0.668440502586844,-0.40684193854925554
False,1,999.0,0.0031654811,0.0019590694,0.002028054,0.99284744,0.6521916932907349,-0.4127642172523962
