forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,2,-267828.0924369748,0.08860126,0.6700357,0.14757153,0.09379153,,
False,2,-265497.08403361344,0.08334629,0.6521598,0.09324134,0.17125258,,
False,2,-263166.0756302521,0.07169833,0.44785795,0.06213473,0.41830897,,
False,2,-260835.06722689077,0.12113036,0.36988577,0.079223976,0.4297599,,
False,2,-258504.0588235294,0.18722185,0.28030887,0.111045875,0.42142338,,
False,2,-256173.05042016806,0.18489853,0.23869276,0.1356044,0.44080433,,
False,2,-253842.04201680672,0.18766865,0.19664076,0.13615917,0.47953144,0.2,0.23636363636363636
False,2,-251511.03361344538,0.4377401,0.17194748,0.2500507,0.14026174,0.09523809523809525,0.5904761904761905
False,2,-249180.02521008404,0.21092947,0.14200363,0.17798826,0.46907863,0.5827956989247313,0.7935483870967742
False,2,-246849.01680672268,0.269046,0.13885352,0.20387694,0.38822356,0.6951219512195121,0.7341463414634146
False,2,-244518.00840336134,0.1877605,0.1034499,0.15899435,0.54979527,0.5733333333333335,0.767843137254902
False,2,-242187.0,0.17132017,0.07616462,0.14779732,0.6047179,0.3650273224043716,0.5322404371584699
