forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,8,-267828.0924369748,0.07424425,0.70278084,0.1464586,0.076516286,,
False,8,-265497.08403361344,0.09175547,0.49268264,0.12885669,0.2867052,,
False,8,-263166.0756302521,0.11646744,0.4572185,0.119420186,0.3068939,,
False,8,-260835.06722689077,0.108134165,0.4024766,0.10380825,0.385581,,
False,8,-258504.0588235294,0.110062346,0.3191509,0.11704091,0.45374584,,
False,8,-256173.05042016806,0.12065418,0.24350648,0.121981025,0.5138583,,
False,8,-253842.04201680672,0.1490835,0.17409329,0.14026977,0.53655344,-0.3090909090909091,0.7818181818181819
False,8,-251511.03361344538,0.1893611,0.10141574,0.16644648,0.5427767,-0.12380952380952383,0.7714285714285715
False,8,-249180.02521008404,0.18371537,0.07488225,0.15611127,0.5852911,-0.05376344086021506,0.7161290322580647
False,8,-246849.01680672268,0.1721637,0.068887435,0.14942122,0.6095277,-0.17804878048780487,0.32682926829268294
False,8,-244518.00840336134,0.16696483,0.05200432,0.14917465,0.6318562,-0.23764705882352946,0.4305882352941177
False,8,-242187.0,0.15109634,0.036269926,0.12020701,0.69242674,-0.34426229508196715,0.6
