forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,4,-267828.0924369748,0.10220873,0.6253499,0.17946506,0.09297631,,
False,4,-265497.08403361344,0.13477764,0.41706872,0.19300215,0.2551515,,
False,4,-263166.0756302521,0.12483497,0.29819638,0.16466463,0.412304,,
False,4,-260835.06722689077,0.14480713,0.22009262,0.16560596,0.46949425,,
False,4,-258504.0588235294,0.14975058,0.19959359,0.1573225,0.49333334,,
False,4,-256173.05042016806,0.13467857,0.17171635,0.13315198,0.5604531,,
False,4,-253842.04201680672,0.13683031,0.13693987,0.11536734,0.61086243,0.41818181818181815,-0.34545454545454546
False,4,-251511.03361344538,0.13848008,0.10809263,0.10408453,0.6493427,0.4952380952380953,-0.5428571428571428
False,4,-249180.02521008404,0.12317536,0.07459144,0.080712676,0.72152054,0.24731182795698925,-0.7118279569892474
False,4,-246849.01680672268,0.11081608,0.060678024,0.08203266,0.74647325,-0.06097560975609756,-0.6682926829268293
False,4,-244518.00840336134,0.093248196,0.05942992,0.060640566,0.7866813,0.243921568627451,-0.22666666666666668
False,4,-242187.0,0.06954817,0.02760971,0.053425364,0.84941673,0.3573770491803278,-0.3704918032786885
