forced,tsid,time,state,residuals,variance,ac1
True,0,-269926.0,-471.7,0.7939398553272667,,
True,0,-269692.8991596639,-472.35794592030356,0.1562563534400283,,
True,0,-269459.7983193277,-472.66289359117144,-0.10156233824199035,,
True,0,-269226.6974789916,-473.5865847534233,-0.9374670671496119,,
True,0,-268993.59663865546,-473.5072962518341,-0.7091408822161043,,
True,0,-268760.49579831935,-472.73532449124235,0.2970320353434772,,
True,0,-268527.39495798317,-469.92718938815153,3.4448428379321854,,
True,0,-268294.29411764705,-470.6185989748598,3.206758314662352,,
True,0,-268061.19327731093,-473.05681756573597,1.3252029145984352,,
True,0,-267828.0924369748,-474.96050751009045,0.052245396138857814,,
True,0,-267594.99159663863,-477.1176953540039,-1.442124842238627,,
True,0,-267361.8907563025,-478.5,-2.1732202435640033,,
True,0,-267128.7899159664,-478.3979119892232,-1.4658747819565292,,
True,0,-266895.6890756303,-477.84264545512855,-0.3695389874238231,,
True,0,-266662.5882352941,-478.91028289178274,-0.962606538611908,,
True,0,-266429.487394958,-478.2693484998562,0.09404864619580167,,
True,0,-266196.38655462186,-476.2424320701044,2.4872521869533557,,
True,0,-265963.28571428574,-477.7285714285711,1.3235132189386718,,
True,0,-265730.18487394956,-481.446781823841,-2.1152915672860786,,
True,0,-265497.08403361344,-482.8351346377967,-3.2672468013871026,,
True,0,-265263.9831932773,-480.73560687432877,-0.9700428051008316,,
True,0,-265030.8823529412,-479.4,0.5357509076735028,,
True,0,-264797.781512605,-479.4,0.6947276852688447,,
True,0,-264564.6806722689,-477.55687031569386,2.701314195091925,,
True,0,-264331.5798319328,-479.1592630898512,1.2761291697239017,,
True,0,-264098.4789915966,-482.03559713848404,-1.4096050457752654,,
True,0,-263865.3781512605,-482.58650519031136,-1.7653174956658972,,
True,0,-263632.2773109244,-481.3751437417072,-0.3669754576064861,,
True,0,-263399.17647058825,-480.57564927857936,0.5995849039350105,,
True,0,-263166.0756302521,-481.02153518123686,0.2938425916540268,,
True,0,-262932.97478991596,-482.4998777122789,-1.0725262569162624,,
True,0,-262699.87394957984,-481.3691646807977,0.14542260426816256,,
True,0,-262466.7731092437,-481.5726069375118,0.010274008180658711,,
True,0,-262233.67226890754,-482.1318261633012,-0.49396425532773947,,
True,0,-262000.57142857142,-481.61546723952733,0.0672389525935273,,
True,0,-261767.4705882353,-480.874166853053,0.8423345011854053,,
True,0,-261534.36974789915,-481.3559486952676,0.3776013675952754,,
True,0,-261301.26890756303,-482.4,-0.6759453708870069,,
True,0,-261068.16806722688,-482.40155211338265,-0.7250352621533693,,
True,0,-260835.06722689077,-482.8364417408754,-1.2555691320251867,,
True,0,-260601.96638655462,-481.69828761693356,-0.2670980673866552,,
True,0,-260368.8655462185,-481.48992551566084,-0.2626879344844042,,
True,0,-260135.76470588235,-481.54819950794007,-0.57414501030172,,
True,0,-259902.66386554623,-480.71992797118855,-0.04003069087877975,,
True,0,-259669.56302521008,-479.7247084880464,0.6289757994925367,,
True,0,-259436.46218487396,-480.04322008959224,-0.04029061175339166,,
True,0,-259203.3613445378,-480.1138246738384,-0.48131789607612063,,
True,0,-258970.2605042017,-479.506070192783,-0.2618490364662307,,
True,0,-258737.15966386555,-479.6888943812819,-0.8522932447873472,,
True,0,-258504.0588235294,-477.8754901960783,0.5293591542546778,,
True,0,-258270.95798319328,-476.7901132922805,1.1506953295661333,,
True,0,-258037.85714285713,-478.1698795180724,-0.7361607992166341,,
True,0,-257804.756302521,-478.0846613344133,-1.2126721355128893,,
True,0,-257571.65546218486,-477.36258633007856,-1.1166211396118797,,
True,0,-257338.55462184874,-476.5267535585663,-0.9758535966639101,,
True,0,-257105.4537815126,-475.1894642857142,-0.40056010452531154,,
True,0,-256872.35294117648,-473.7788235294118,0.19060546963089564,,
True,0,-256639.25210084033,-473.2511743158802,-0.14247547335207855,,
True,0,-256406.1512605042,-472.52825493833905,-0.2990077839492642,,
True,0,-256173.05042016806,-470.72964973600057,0.6308952804599244,1.493304062449453,0.518036999153039
True,0,-255939.94957983194,-470.0858268307323,0.45440079750062523,1.4849198908504186,0.5201361361714945
