forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,3,-20608.1875,0.06268469,0.7625636,0.11227636,0.062475406,,
False,3,-20140.921875,0.102216676,0.71231383,0.10452411,0.08094542,,
False,3,-19673.65625,0.35928866,0.4346733,0.17381412,0.032223932,,
False,3,-19206.390625,0.34754178,0.37582356,0.21088934,0.06574531,,
False,3,-18739.125,0.34777862,0.27033073,0.3038631,0.07802755,,
False,3,-18271.859375,0.34311974,0.19511971,0.3439159,0.117844604,,
False,3,-17804.59375,0.24377902,0.1454251,0.31407255,0.29672337,0.4666666666666666,-0.2
False,3,-17337.328125,0.29273632,0.089049436,0.34966972,0.26854455,-0.45,-0.48333333333333334
False,3,-16870.0625,0.36890125,0.07156234,0.3633795,0.19615689,0.37846153846153846,0.12000000000000001
False,3,-16402.796875,0.20239905,0.05686728,0.27649063,0.46424302,0.2507936507936508,0.009523809523809525
False,3,-15935.53125,0.22761552,0.0466663,0.2652099,0.46050826,0.32173913043478264,-0.30434782608695654
False,3,-15468.265625,0.2305983,0.04072604,0.2425489,0.48612675,-0.07012987012987014,-0.4688311688311689
False,3,-15001.0,0.18829295,0.029143732,0.21072471,0.5718386,-0.31375291375291375,-0.5664335664335665
