forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,5,1009.0,0.12337174,0.56355,0.2450602,0.06801804,,
False,5,1019.0,0.18067874,0.39077917,0.23734753,0.19119456,,
False,5,1029.0,0.23157477,0.2923584,0.25606513,0.2200017,,
False,5,1039.0,0.14574972,0.21039824,0.20086245,0.4429896,,
False,5,1049.0,0.19647661,0.13838829,0.23716581,0.4279693,,
False,5,1059.0,0.19126959,0.0810368,0.22023976,0.50745386,,
False,5,1069.0,0.31366846,0.05271836,0.2902721,0.34334105,,
False,5,1079.0,0.3728432,0.044462994,0.3061301,0.27656367,,
False,5,1089.0,0.45566934,0.029318864,0.28166008,0.23335168,,
False,5,1099.0,0.42554766,0.019920487,0.23453596,0.3199959,,
False,5,1109.0,0.48191547,0.020103212,0.24807815,0.24990313,,
False,5,1119.0,0.60529894,0.023854252,0.24249502,0.12835178,,
False,5,1129.0,0.6636552,0.036620192,0.261068,0.038656626,0.2,-0.6
False,5,1139.0,0.55024546,0.07544109,0.3301658,0.044147603,0.6833333333333333,0.2333333333333333
False,5,1149.0,0.37818047,0.07603999,0.45554242,0.090237156,0.5015384615384615,0.20615384615384616
False,5,1159.0,0.3146706,0.026730504,0.3747586,0.2838403,0.5873015873015873,0.5396825396825397
False,5,1169.0,0.2913539,0.021526452,0.37109643,0.3160232,0.2135265700483092,0.6946859903381644
False,5,1179.0,0.24178727,0.021313393,0.35987747,0.37702185,-0.05454545454545456,0.6454545454545455
False,5,1189.0,0.3131133,0.024412962,0.44603676,0.21643698,0.06853146853146853,0.6317016317016317
False,5,1199.0,0.29263636,0.023639565,0.41732064,0.2664034,0.2610526315789474,0.6147368421052632
False,5,1209.0,0.33075815,0.016019952,0.39728582,0.2559361,0.4172366621067031,0.6831737346101231
False,5,1219.0,0.29519683,0.01417893,0.42141795,0.2692063,0.5210526315789473,0.7298245614035086
False,5,1229.0,0.33576584,0.01034241,0.3855656,0.26832616,0.5644204851752022,0.7746630727762804
False,5,1239.0,0.35053045,0.013425501,0.45004004,0.186004,0.6227886056971514,0.7778110944527735
False,5,1249.0,0.4662295,0.012257539,0.42440295,0.097110055,0.6784761904761905,0.793015873015873
False,5,1259.0,0.52539665,0.013587197,0.39157254,0.06944368,0.7141612200435729,0.8132897603485838
False,5,1269.0,0.5004574,0.010920117,0.3804124,0.10821011,0.7199811053377421,0.829003306565895
False,5,1279.0,0.45026737,0.0102089215,0.39860103,0.14092267,0.7027295285359801,0.798014888337469
False,5,1289.0,0.38157582,0.010588556,0.44540733,0.16242823,0.6949251551661191,0.7276378240233662
False,5,1299.0,0.28963542,0.008094351,0.4330512,0.26921904,0.6918181818181818,0.6696103896103895
False,5,1309.0,0.23579183,0.006725791,0.4105603,0.34692207,0.6746294681778552,0.6280151118860795
False,5,1319.0,0.223995,0.005820009,0.39312357,0.37706143,0.6288854003139719,0.5539508110936684
False,5,1329.0,0.20726457,0.005262188,0.376235,0.41123825,0.5503670376509591,0.45195358749704
False,5,1339.0,0.1818057,0.005250812,0.37536734,0.43757614,0.48268733850129186,0.35788113695090434
False,5,1349.0,0.16328281,0.0054339864,0.34823042,0.4830528,0.41561455260570307,0.2610422812192724
False,5,1359.0,0.1888341,0.004929214,0.33272424,0.4735125,0.3464118283447529,0.18081500180310128
False,5,1369.0,0.17311148,0.0042572306,0.3114611,0.51117015,0.256080968972955,0.12427409988385597
False,5,1379.0,0.22284465,0.004525891,0.33919853,0.43343097,0.1610294117647059,0.05520833333333334
False,5,1389.0,0.25539404,0.0051204017,0.38292575,0.3565598,0.07782664207689034,-0.004227550007093205
False,5,1399.0,0.20194201,0.004644736,0.34086332,0.45254993,0.012015810276679842,-0.044374176548089596
False,5,1409.0,0.18739182,0.004179927,0.33068338,0.47774488,-0.043160348423506315,-0.05032511348300822
False,5,1419.0,0.245433,0.0047243936,0.33072677,0.41911584,-0.09267063673843336,-0.035455794777828675
False,5,1429.0,0.2809654,0.0049054,0.3314754,0.38265386,-0.14149791063966569,-0.006621665059466409
False,5,1439.0,0.33148706,0.006121061,0.32595927,0.33643264,-0.1811934900542495,0.014345991561181434
False,5,1449.0,0.47864285,0.0071756504,0.30900747,0.20517404,-0.22280320906087778,0.0477772534214252
False,5,1459.0,0.36232126,0.0071330043,0.33444238,0.29610336,-0.24228855721393033,0.07025586353944563
False,5,1469.0,0.36870015,0.007911544,0.30291262,0.32047573,-0.2600150791656195,0.1120046912959705
False,5,1479.0,0.31822821,0.018947445,0.30825794,0.3545664,-0.261592024054439,0.14144643139737298
False,5,1489.0,0.26511425,0.019881343,0.25918537,0.45581904,-0.2520098809791152,0.12783891009806123
False,5,1499.0,0.28061336,0.017320815,0.2726563,0.4294095,-0.24507801418439715,0.09676595744680849
