forced,tsid,time,state,residuals,variance,ac1
True,0,-40000000.0,0.1,-0.22776823141759447,,
True,0,-39987200.854700856,0.2,-1.2768665725619288,,
True,0,-39974401.70940171,0.11602564102567732,-2.4880774551082623,,
True,0,-39961602.56410257,0.09198717948716134,-3.6151149206088355,,
True,0,-39948803.418803416,1.199145299145952,-3.5856401703230043,,
True,0,-39936004.27350427,4.918376068376601,-0.9197439970336916,,
True,0,-39923205.12820513,10.971153846153952,4.1005874639732784,,
True,0,-39910405.982905984,14.333012820512653,6.445198168563114,,
True,0,-39897606.83760684,13.85641025641039,4.959457369259221,,
True,0,-39884807.692307696,13.19230769230783,3.285724640948125,,
True,0,-39872008.547008544,12.680341880341768,1.7526486553269578,,
True,0,-39859209.4017094,13.406517094017005,1.4382776074605026,,
True,0,-39846410.256410256,12.541025641025602,-0.4337423333323489,,
True,0,-39833611.11111111,12.730555555555448,-0.8828313890168094,,
True,0,-39820811.96581197,16.553632478631737,2.4409428254400325,,
True,0,-39808012.820512824,18.18333333333418,3.712230941967208,,
True,0,-39795213.67521367,14.520512820511835,-0.1922544470690699,,
True,0,-39782414.52991453,11.358760683760345,-3.516097215390799,,
True,0,-39769615.384615384,11.313461538461707,-3.6947159728775976,,
True,0,-39756816.23931624,15.53493589743562,0.3794369246162326,,
True,0,-39744017.094017096,20.74358974358905,5.4092305497801085,,
True,0,-39731217.94871795,19.0445512820524,3.51323987780318,,
True,0,-39718418.8034188,13.379914529915899,-2.340547071279607,,
True,0,-39705619.658119656,18.993055555556452,3.1046268498768406,,
True,0,-39692820.51282051,14.226923076922297,-1.820206755705211,,
True,0,-39680021.36752137,11.1005341880342,-5.123305582832582,,
True,0,-39667222.222222224,15.669444444443657,-0.7799847056092393,,
True,0,-39654423.07692308,13.104807692310773,-3.616717003684,,
True,0,-39641623.93162393,29.834615384624044,12.797583559353967,,
True,0,-39628824.786324784,23.136431623929667,5.728442290627015,,
True,0,-39616025.64102564,18.60769230769314,0.7637745237186309,,
True,0,-39603226.495726496,13.181730769231171,-5.176780770754144,,
True,0,-39590427.35042735,14.066951566950653,-4.900654076484681,,
True,0,-39577628.20512821,16.605128205128313,-3.0739745541770063,,
True,0,-39564829.059829056,19.88518518518766,-0.6289537944602692,,
True,0,-39552029.91452991,20.496937321936514,-1.0043479665885577,,
True,0,-39539230.76923077,27.200000000000397,4.564308865223683,,
True,0,-39526431.623931624,19.908974358974547,-4.0002659035212424,,
True,0,-39513632.47863248,25.01566951566835,-0.306193680916131,,
True,0,-39500833.333333336,26.377777777778306,-0.4878328485267538,,
True,0,-39488034.18803419,20.597435897437784,-7.928714988377866,,
True,0,-39475235.04273504,23.456837606841326,-6.83661128868582,,
True,0,-39462435.897435896,32.31025641025663,0.17855553359586196,,
True,0,-39449636.75213675,33.50245726495736,-0.5013059516441629,,
True,0,-39436837.60683761,40.67435897435882,4.795950305006471,,
True,0,-39424038.461538464,43.130769230768685,5.402879645457638,,
True,0,-39411239.31623932,36.39059829060137,-3.150889218891706,,
True,0,-39398440.17094017,37.689102564104125,-3.596651878537166,,
True,0,-39385641.025641024,43.9820512820518,1.056629433329661,,
True,0,-39372841.88034188,51.62649572649598,7.191029940596351,,
True,0,-39360042.735042736,64.35512820512727,18.557993496282002,,
True,0,-39347243.58974359,55.722435897437556,8.732744471262386,,
True,0,-39334444.44444445,49.777777777777914,1.767221804380604,,
True,0,-39321645.299145296,51.71652421652496,2.8129710508562624,,
True,0,-39308846.15384615,51.79807692307707,2.087783214909223,,
True,0,-39296047.00854701,50.20644078144048,-0.23821101226642583,,
True,0,-39283247.863247864,56.123931623931156,5.022308538138191,,
