forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,7,1009.0,0.13469118,0.5836929,0.23684008,0.044775855,,
False,7,1019.0,0.1942418,0.49662796,0.27470928,0.0344209,,
False,7,1029.0,0.17881978,0.5739974,0.21792856,0.029254276,,
False,7,1039.0,0.3558051,0.40814847,0.1816764,0.054370027,,
False,7,1049.0,0.318927,0.28984937,0.20606963,0.18515398,,
False,7,1059.0,0.3641227,0.22478311,0.2869183,0.12417592,,
False,7,1069.0,0.38403878,0.16760345,0.3310261,0.11733168,,
False,7,1079.0,0.2017338,0.11648078,0.29020736,0.39157805,,
False,7,1089.0,0.2520785,0.08272107,0.33308622,0.3321142,,
False,7,1099.0,0.2102571,0.051291697,0.28021044,0.45824075,,
False,7,1109.0,0.32805398,0.030616114,0.50123566,0.14009424,,
False,7,1119.0,0.30471724,0.020816436,0.5029994,0.17146684,,
False,7,1129.0,0.24584457,0.011311968,0.3912638,0.35157967,0.6,0.3333333333333333
False,7,1139.0,0.25391048,0.007948065,0.39528415,0.3428573,-0.31666666666666665,-0.41666666666666663
False,7,1149.0,0.2941193,0.008339213,0.5436945,0.153847,0.29846153846153844,0.2307692307692308
False,7,1159.0,0.22065313,0.0068861013,0.5862069,0.18625388,-0.13333333333333333,0.15873015873015875
False,7,1169.0,0.19102585,0.007098466,0.68961203,0.11226366,-0.30821256038647343,0.13236714975845412
False,7,1179.0,0.16632786,0.006211296,0.7584903,0.06897051,-0.26753246753246757,0.32077922077922083
False,7,1189.0,0.17261627,0.006226517,0.7777192,0.043438006,-0.14871794871794872,0.47039627039627036
False,7,1199.0,0.19900937,0.0057413164,0.7811166,0.01413268,-0.1754385964912281,0.5915789473684211
False,7,1209.0,0.22761187,0.0047975113,0.75875837,0.008832282,-0.2350205198358413,0.6749658002735978
False,7,1219.0,0.261713,0.0063103214,0.7258228,0.0061539044,-0.31052631578947365,0.7100877192982454
False,7,1229.0,0.2915743,0.0068552033,0.6968953,0.0046751895,-0.40628930817610065,0.6866127583108717
False,7,1239.0,0.3144372,0.005281674,0.67683434,0.0034467909,-0.4926536731634183,0.5550224887556222
False,7,1249.0,0.25703406,0.0060875476,0.7320278,0.0048505487,-0.5332063492063492,0.5255873015873016
False,7,1259.0,0.27439207,0.005908196,0.7140056,0.005694122,-0.5435729847494553,0.46383442265795205
False,7,1269.0,0.26975784,0.0063985437,0.715812,0.008031633,-0.5616438356164384,0.3923476617855456
False,7,1279.0,0.2666503,0.006605989,0.7182458,0.008497911,-0.5966914805624484,0.23837882547559966
False,7,1289.0,0.29876357,0.0057035387,0.68815124,0.007381689,-0.5995618838992333,0.13282219788243885
False,7,1299.0,0.26633245,0.006105842,0.71674967,0.010812046,-0.5641558441558442,0.12077922077922078
False,7,1309.0,0.30282345,0.0062899613,0.67851853,0.012368061,-0.506073815751235,0.1130485324033711
False,7,1319.0,0.25327072,0.0064402306,0.7223678,0.017921206,-0.42721088435374155,0.16807953950811097
False,7,1329.0,0.2048202,0.00600347,0.7643908,0.02478546,-0.35666587733838506,0.22036466966611415
False,7,1339.0,0.21588452,0.006119045,0.74399525,0.03400118,-0.25486649440137804,0.27028423772609816
False,7,1349.0,0.19307745,0.005981374,0.76468873,0.036252446,-0.16593903638151428,0.3161848574237955
False,7,1359.0,0.1968377,0.005649044,0.7553979,0.042115346,-0.07464839523981245,0.35715831229715106
False,7,1369.0,0.18387824,0.0053951317,0.76478016,0.04594647,-0.051202920192467236,0.37766716442674625
False,7,1379.0,0.18938188,0.005519691,0.75680786,0.04829057,-0.058517156862745105,0.3942401960784314
False,7,1389.0,0.18390623,0.004924895,0.77565044,0.03551843,-0.10495105688750178,0.41302312384735423
False,7,1399.0,0.21224168,0.0050079073,0.73950565,0.043244757,-0.1238471673254282,0.4427931488801055
False,7,1409.0,0.22473197,0.0061507965,0.7215728,0.04754443,-0.10038032143295302,0.45606674027726657
False,7,1419.0,0.21686633,0.0062320675,0.7289883,0.047913294,-0.11708657810352725,0.4462666055886395
False,7,1429.0,0.22798567,0.006845278,0.7120958,0.05307325,-0.1454409086038787,0.4289938926390228
False,7,1439.0,0.23035438,0.0073396005,0.704737,0.057569016,-0.19071729957805908,0.3869399236487844
False,7,1449.0,0.23244624,0.008873395,0.7040821,0.054598324,-0.23511090136857005,0.3202831524303916
False,7,1459.0,0.2338202,0.010390631,0.6991464,0.05664281,-0.27707889125799573,0.24641080312722105
False,7,1469.0,0.19649115,0.01103379,0.7305134,0.06196166,-0.3079333165787049,0.17607439055038954
False,7,1479.0,0.18294369,0.010707063,0.7517668,0.054582458,-0.34508624782402275,0.11137838265548344
False,7,1489.0,0.18612604,0.010204272,0.7486573,0.055012416,-0.3796242233700127,0.05235421813009956
False,7,1499.0,0.21820441,0.008889306,0.71131885,0.061587404,-0.3447943262411347,0.050127659574468075
