forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
True,9,1389.0,0.13931909,0.559184,0.24493007,0.056566834,,
True,9,1399.0,0.15346973,0.49121332,0.24071753,0.11459943,,
True,9,1409.0,0.2750607,0.4478171,0.2443246,0.032797564,,
True,9,1419.0,0.2898283,0.3735532,0.2788383,0.057780247,-0.6363636363636364,-0.9636363636363636
True,9,1429.0,0.31275243,0.3643428,0.29986972,0.023035036,0.33333333333333337,0.05714285714285715
True,9,1439.0,0.08056098,0.6987412,0.19581857,0.024879236,0.6473118279569893,0.3634408602150538
True,9,1449.0,0.09195305,0.6819066,0.1993327,0.026807684,0.7146341463414634,0.4536585365853658
True,9,1459.0,0.12707426,0.5434278,0.28759003,0.0419079,0.5372549019607844,0.36156862745098045
True,9,1469.0,0.1348651,0.46394005,0.35014018,0.051054675,0.27650273224043714,0.2797814207650273
True,9,1479.0,0.1329615,0.4270908,0.39612675,0.043820933,-0.05110663983903421,-0.04386317907444668
True,9,1489.0,0.13846907,0.41046667,0.40356678,0.04749749,-0.2,-0.18765432098765433
True,9,1499.0,0.13917896,0.3881564,0.41864997,0.054014634,-0.25567765567765566,-0.2332112332112332
