forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,0,9.0,0.12224968,0.30142042,0.32765672,0.24867317,,
False,0,19.0,0.15337332,0.28183582,0.30609137,0.2586995,,
False,0,29.0,0.15650654,0.18586339,0.2599009,0.39772916,,
False,0,39.0,0.2224708,0.16271093,0.2778985,0.33691975,,
False,0,49.0,0.16654332,0.11553474,0.24979022,0.46813172,,
False,0,59.0,0.1455314,0.077378444,0.23366246,0.54342765,,
False,0,69.0,0.13484275,0.06039535,0.22448464,0.58027726,,
False,0,79.0,0.13681397,0.048949264,0.21914923,0.5950875,,
False,0,89.0,0.14260402,0.039202895,0.20779292,0.61040014,,
False,0,99.0,0.17492834,0.024626229,0.22283113,0.5776143,,
False,0,109.0,0.43801594,0.024760049,0.2580157,0.27920836,,
False,0,119.0,0.1911536,0.019290477,0.2587343,0.5308216,,
False,0,129.0,0.19990802,0.01606772,0.25049305,0.5335312,,
False,0,139.0,0.14929515,0.014009292,0.24365878,0.5930368,,
False,0,149.0,0.13853629,0.013444562,0.23067608,0.61734307,,
False,0,159.0,0.13602023,0.013079655,0.23988822,0.61101186,,
False,0,169.0,0.13479611,0.012767702,0.23941417,0.613022,,
False,0,179.0,0.16082883,0.013985137,0.24901502,0.57617104,,
False,0,189.0,0.15928839,0.013904264,0.27847764,0.5483297,,
False,0,199.0,0.14084059,0.013278025,0.25566977,0.59021163,,
False,0,209.0,0.14795534,0.012179394,0.2579166,0.58194864,,
False,0,219.0,0.13924292,0.010958982,0.24358289,0.6062152,,
False,0,229.0,0.18631916,0.015187132,0.28827143,0.5102223,,
False,0,239.0,0.13946626,0.013178895,0.24076816,0.6065867,,
False,0,249.0,0.1468693,0.015078205,0.25957507,0.57847744,,
False,0,259.0,0.1449403,0.012982419,0.23761094,0.6044663,,
False,0,269.0,0.3217876,0.018496592,0.31889194,0.34082386,,
False,0,279.0,0.3435502,0.017887462,0.3261719,0.31239042,,
False,0,289.0,0.26510173,0.016489964,0.31531465,0.40309367,,
False,0,299.0,0.23223503,0.014424214,0.26669818,0.48664254,,
False,0,309.0,0.22958522,0.013996986,0.25640488,0.50001293,,
False,0,319.0,0.31570607,0.016565967,0.29869515,0.3690328,,
False,0,329.0,0.30581468,0.014915535,0.2653316,0.4139382,,
False,0,339.0,0.32917956,0.016414303,0.25587,0.39853615,,
False,0,349.0,0.42552003,0.019795608,0.29244018,0.2622442,,
False,0,359.0,0.47120658,0.018786225,0.29548317,0.21452396,,
False,0,369.0,0.49257755,0.019411016,0.2876232,0.20038827,,
False,0,379.0,0.34051204,0.016665768,0.26444256,0.37837964,0.7333333333333333,-0.6
False,0,389.0,0.2753316,0.015086303,0.24601999,0.4635621,0.9,-0.6
False,0,399.0,0.25513238,0.014122197,0.23460507,0.49614033,0.563076923076923,-0.68
False,0,409.0,0.26423514,0.012940349,0.21753097,0.50529355,0.041269841269841276,-0.8
False,0,419.0,0.24785309,0.014346574,0.23604281,0.5017575,-0.24057971014492757,-0.8492753623188406
False,0,429.0,0.23845418,0.014858447,0.22876742,0.51791996,-0.13376623376623378,-0.7350649350649351
False,0,439.0,0.24499552,0.013131058,0.20714755,0.53472584,0.14592074592074591,-0.3902097902097902
False,0,449.0,0.24906412,0.012706839,0.2076867,0.5305424,0.20280701754385969,-0.08842105263157897
False,0,459.0,0.26369217,0.012938233,0.21831138,0.50505817,0.27058823529411763,0.13050615595075238
False,0,469.0,0.23968549,0.011459805,0.2094042,0.5394505,0.2587719298245614,0.2771929824561403
False,0,479.0,0.23668405,0.010746347,0.20776482,0.54480475,0.23629829290206655,0.3060197663971249
False,0,489.0,0.23763172,0.011712447,0.21456961,0.5360862,0.11934032983508244,0.25037481259370314
False,0,499.0,0.21534404,0.010131595,0.2013487,0.57317567,0.09104761904761904,0.11771428571428572
False,0,509.0,0.21961741,0.009380212,0.1962885,0.5747139,0.05816993464052286,-0.005010893246187363
False,0,519.0,0.2539944,0.010113421,0.21783185,0.5180603,-0.07680680207841285,-0.07718469532357108
False,0,529.0,0.22030373,0.009233082,0.20099115,0.5694721,-0.18494623655913978,-0.011910669975186106
False,0,539.0,0.21055412,0.008602949,0.1940584,0.5867845,-0.27988316903979554,0.07747353048557867
False,0,549.0,0.3109076,0.011710615,0.24040297,0.43697882,-0.35558441558441556,0.15168831168831168
False,0,559.0,0.33832204,0.012505556,0.2464138,0.4027586,-0.42167974426038934,0.14245858761987792
False,0,569.0,0.2134933,0.009577666,0.21577981,0.56114924,-0.4762951334379907,0.07357404500261644
False,0,579.0,0.30221575,0.013242307,0.24320646,0.4413355,-0.5199621122424817,-0.020412029363012077
False,0,589.0,0.35282803,0.012893176,0.24263959,0.3916392,-0.5592592592592591,-0.0925064599483204
False,0,599.0,0.33369827,0.013770625,0.24511886,0.40741223,-0.5911111111111111,-0.1193706981317601
