forced,tsid,time,state,residuals
False,4,101.0,0.8268287257411862,0.005052973255751936
False,4,102.0,0.8211082506996833,-0.0006553072810614458
False,4,103.0,0.8054927466486566,-0.016258611028381442
False,4,104.0,0.8140734928971699,-0.007665660519285522
False,4,105.0,0.8108133407994181,-0.010913606522475416
False,4,106.0,0.8053744619472538,-0.016340279864492158
False,4,107.0,0.8047210547861047,-0.016981484861450014
False,4,108.0,0.8155001817672586,-0.006190162220197082
False,4,109.0,0.8275343314089267,0.0058561730119320865
False,4,110.0,0.8246465884516412,0.0029806017149146546
False,4,111.0,0.8229168971222471,0.0012630641826755218
False,4,112.0,0.8331495574526048,0.011507856440338693
False,4,113.0,0.8256022461558761,0.0039726511158125755
False,4,114.0,0.8189432867750499,-0.002674232275756472
False,4,115.0,0.8310328627811948,0.009427385675583433
False,4,116.0,0.8196042044166918,-0.001989268986589021
False,4,117.0,0.8199757801762264,-0.0016057319520660362
False,4,118.0,0.8180926651480321,-0.0034769324521560785
False,4,119.0,0.8129580142878006,-0.008599720039651038
False,4,120.0,0.8262130007538174,0.004667073685287404
False,4,121.0,0.8197049674951652,-0.00182921337319486
False,4,122.0,0.8167493223307674,-0.004773178488304497
False,4,123.0,0.817272722737551,-0.004238169390334168
False,4,124.0,0.8182204218013484,-0.0032789383929733296
False,4,125.0,0.8252355292228232,0.0037476186448263116
False,4,126.0,0.8425202476702582,0.021043698789596443
False,4,127.0,0.8188084336218261,-0.002656846827757242
False,4,128.0,0.82643811390575,0.0049840037467983045
False,4,129.0,0.8293865166840299,0.007943474190792443
False,4,130.0,0.8125957954911412,-0.008836285747558348
False,4,131.0,0.8141538092757711,-0.007267419985107715
False,4,132.0,0.8231727779361925,0.001762289252707605
False,4,133.0,0.8154042904284805,-0.00599557022303554
False,4,134.0,0.8203665425216852,-0.0010228022842820872
False,4,135.0,0.8238310910349219,0.002452152006552577
False,4,136.0,0.8303605704902415,0.008991931619766524
False,4,137.0,0.828915813034619,0.0075573762259052435
False,4,138.0,0.830085077124337,0.008736755742776992
False,4,139.0,0.8333525710729948,0.012014294669540071
False,4,140.0,0.8156480797099206,-0.005680200359625132
False,4,141.0,0.8265558227361578,0.005237518657605689
False,4,142.0,0.8389465994683512,0.017638286380237345
False,4,143.0,0.8349211266695131,0.013622863251959716
False,4,144.0,0.8197344162419464,-0.001553685500623847
False,4,145.0,0.8254474257847015,0.004169661575596284
False,4,146.0,0.8324238212603471,0.011156645163614032
False,4,147.0,0.8360614035098473,0.014805152280545575
False,4,148.0,0.8324977926278757,0.011252900931416399
False,4,149.0,0.8235468988612218,0.002313910484063042
False,4,150.0,0.8199794885838462,-0.0012295655591777477
False,4,151.0,0.8325316127138114,0.011346919864060445
False,4,152.0,0.8206154566181715,-0.0005444389697590868
False,4,153.0,0.8153546466270511,-0.005780008837103279
False,4,154.0,0.8217051534184334,0.0005961864279196982
False,4,155.0,0.8256326790916859,0.004549852558101808
False,4,156.0,0.8208763047684895,-0.000179928852010236
False,4,157.0,0.8193481957576547,-0.0016809932440418063
False,4,158.0,0.8259079267242262,0.004906234534060916
False,4,159.0,0.823650177102082,0.0026764356663988575
False,4,160.0,0.8126059806024579,-0.008339357921692603
False,4,161.0,0.8170773901104157,-0.003839100089538916
False,4,162.0,0.8257781775619107,0.004890969424014013
False,4,163.0,0.8296274323270122,0.008769924588196809
False,4,164.0,0.8294516122213637,0.008624205787196249
False,4,165.0,0.8207286490587579,-6.827437889989074e-05
False,4,166.0,0.827275804421969,0.006509723378955279
False,4,167.0,0.8315807491985574,0.010845845952238364
False,4,168.0,0.822459485829567,0.0017560710425691406
False,4,169.0,0.8255897446595438,0.00491810412686311
False,4,170.0,0.8280774913665039,0.007437887109054131
False,4,171.0,0.8187055413296609,-0.0019017867856913062
False,4,172.0,0.8137664311145205,-0.006808401379942763
