forced,tsid,time,Fold,Hopf,Branch,Null,ktau_variance,ktau_ac1
False,2,-381594.09278350516,0.09423363,0.6614221,0.19989137,0.044452935,,
False,2,-376317.08247422683,0.12865274,0.48912245,0.19661257,0.18561226,,
False,2,-371040.07216494845,0.23110366,0.5116407,0.18197413,0.07528149,,
False,2,-365763.0618556701,0.18125498,0.34296417,0.16404237,0.3117385,,
False,2,-360486.05154639174,0.18521903,0.27080685,0.20014994,0.34382418,,
False,2,-355209.0412371134,0.23346429,0.23700754,0.21964428,0.30988386,-0.15555555555555553,0.06666666666666667
False,2,-349932.03092783503,0.28893915,0.20365767,0.26533675,0.24206647,0.4842105263157895,0.6736842105263158
False,2,-344655.0206185567,0.42167076,0.133657,0.35375118,0.090921044,0.7057471264367816,0.8482758620689655
False,2,-339378.0103092783,0.29575813,0.08287264,0.3525847,0.26878452,0.6230769230769232,0.9
False,2,-334101.0,0.26868814,0.053421833,0.31822675,0.35966328,0.06448979591836734,0.6848979591836735
