forced,tsid,time,state,residuals,variance,ac1
True,0,-385288.0,-462.2,-1.2156907781118775,,
True,0,-384760.2989690722,-459.82625833838694,1.1722576023050237,,
True,0,-384232.59793814435,-455.18121503545586,5.8456579304586285,,
True,0,-383704.8969072165,-450.64275365203224,10.426509739813696,,
True,0,-383177.19587628864,-451.2892413428496,9.836276393957348,,
True,0,-382649.4948453608,-452.53555895618564,8.659840079116691,,
True,0,-382121.793814433,-457.1559576674036,4.122652751354451,,
True,0,-381594.09278350516,-459.2415706488781,2.1332449798542257,,
True,0,-381066.3917525773,-460.7995906062749,0.6840575022235384,,
True,0,-380538.6907216495,-462.71254356679015,-1.1078485296443432,,
True,0,-380010.9896907217,-463.9910899669597,-2.2535617267068346,,
True,0,-379483.2886597938,-463.2256822851324,-1.344023857988475,,
True,0,-378955.58762886596,-461.4058375823439,0.6307054168547666,,
True,0,-378427.88659793814,-458.5307750333649,3.670892199708078,,
True,0,-377900.1855670103,-454.35558081013073,8.020918978520854,,
True,0,-377372.4845360825,-453.65868422142177,8.901791610693863,,
True,0,-376844.78350515466,-457.4846644470294,5.268378269587743,,
True,0,-376317.08247422683,-460.85171789189695,2.1019260509268065,,
True,0,-375789.38144329895,-463.7570191030368,-0.595291749636317,,
True,0,-375261.6804123711,-465.40910958652825,-2.03237507226919,,
True,0,-374733.9793814433,-465.9638407545515,-2.3657011148974334,,
True,0,-374206.27835051547,-467.007330639755,-3.181885965774825,,
True,0,-373678.57731958764,-468.55811721899187,-4.499976810970622,,
True,0,-373150.8762886598,-469.8310652920962,-5.535339130034117,,
True,0,-372623.175257732,-471.314341466784,-6.7766134745951945,,
True,0,-372095.4742268041,-473.3443094148973,-8.560593998483853,,
True,0,-371567.7731958763,-473.78114801665873,-8.747889576287946,,
True,0,-371040.07216494845,-468.88019032513876,-3.5942805127355655,,
True,0,-370512.3711340206,-466.4927150234134,-0.951442109478819,,
True,0,-369984.6701030928,-465.17890664901165,0.6200717929216353,,
True,0,-369456.96907216497,-461.70392808936026,4.354737258970999,,
True,0,-368929.26804123714,-458.2191851152094,8.100763528191578,,
True,0,-368401.56701030926,-459.82265154639185,6.759821157965291,,
True,0,-367873.86597938143,-462.95032254174964,3.8955915559346295,,
True,0,-367346.1649484536,-462.66631110581415,4.443573099587695,,
True,0,-366818.4639175258,-462.50671811257814,4.867321484853619,,
True,0,-366290.76288659795,-464.2172665456938,3.42079801234712,,
True,0,-365763.0618556701,-465.9349138270244,1.9666593020493792,,
True,0,-365235.36082474224,-468.7516889873785,-0.5875039550051042,,
True,0,-364707.6597938144,-470.7227329915686,-2.2971833148465635,,
True,0,-364179.9587628866,-468.96625555660637,-0.2809687750653893,,
True,0,-363652.25773195876,-468.09471987335417,0.848300061939085,,
True,0,-363124.55670103093,-470.4549917602422,-1.25661117968275,,
True,0,-362596.8556701031,-469.4134326645373,0.03753536597071161,,
